fecha,temperatura,presion,humedad,altura,alta_temperatura,nivel_temperatura
40858.0,24.16,790.957,24.97363,2040.855,0,2
40981.0,24.16,791.0316,25.11621,2040.097,0,2
41103.0,24.15,791.0187,24.98145,2040.227,0,2
41227.0,24.15,791.0999,24.96777,2039.402,0,2
41348.0,24.12,791.0676,24.99707,2039.732,0,2
41470.0,24.13,791.0198,25.00391,2040.216,0,2
41592.0,24.13,791.074,24.97559,2039.666,0,2
41714.0,24.13,791.0535,25.0127,2039.875,0,2
41836.0,24.12,791.1217,25.0127,2039.18,0,2
41958.0,24.12,791.1152,25.01953,2039.246,0,2
42080.0,24.11,791.0815,25.01953,2039.59,0,2
42202.0,24.09,791.0017,25.02344,2040.401,0,2
42324.0,24.07,791.0904,25.10059,2039.5,0,2
42446.0,24.06,791.1586,24.96191,2038.805,0,2
42568.0,24.07,791.1445,25.03613,2038.948,0,2
42690.0,24.06,791.1252,25.04785,2039.146,0,2
42811.0,24.07,791.1651,25.05566,2038.739,0,2
42933.0,24.07,791.1987,25.05957,2038.398,0,2
43057.0,24.07,791.1445,25.1123,2038.948,0,2
43179.0,24.08,791.1511,25.06543,2038.882,0,2
43301.0,24.07,791.111,25.0752,2039.288,0,2
43423.0,24.05,791.0916,25.05371,2039.487,0,2
43545.0,24.04,791.1262,25.0791,2039.135,0,2
43668.0,24.04,791.1533,25.07324,2038.86,0,2
43791.0,24.05,791.2205,24.99023,2038.176,0,2
43915.0,24.03,791.1469,25.08594,2038.924,0,2
44037.0,24.03,791.0927,25.06445,2039.476,0,2
44159.0,24.03,791.1675,25.02051,2038.715,0,2
44286.0,24.02,791.1276,25.05566,2039.119,0,2
44408.0,24.0,791.1079,25.05859,2039.32,0,2
44530.0,24.01,791.1144,25.06055,2039.254,0,2
44652.0,23.99,791.0681,25.04492,2039.727,0,2
44903.0,24.04,791.0516,25.0791,2039.894,0,2
45024.0,24.09,791.0081,24.98633,2040.338,0,2
45146.0,24.15,791.0187,25.14063,2040.227,0,2
45271.0,24.18,791.0034,25.08594,2040.385,0,2
45392.0,24.2,791.0898,25.10059,2039.505,0,2
45514.0,24.21,790.9612,25.19238,2040.813,0,2
45636.0,24.23,790.9934,25.34082,2040.485,0,2
45758.0,24.25,791.0465,25.36426,2039.944,0,2
45880.0,24.23,791.0412,25.36621,2039.999,0,2
46002.0,24.19,791.0164,25.27441,2040.253,0,2
46124.0,24.16,791.0382,25.24609,2040.031,0,2
46246.0,24.12,791.0676,25.22168,2039.732,0,2
46373.0,24.11,790.967,25.17676,2040.755,0,2
46517.0,24.08,791.0429,25.13574,2039.981,0,2
46639.0,24.06,791.0234,25.1377,2040.182,0,2
46761.0,24.06,790.9693,25.05566,2040.731,0,2
46883.0,24.07,791.0363,25.15625,2040.049,0,2
47021.0,24.06,790.9628,25.15137,2040.797,0,2
47143.0,24.06,790.9693,25.14844,2040.731,0,2
47267.0,24.05,791.0041,25.14453,2040.377,0,2
47389.0,24.04,790.8894,25.12305,2041.545,0,2
47511.0,24.03,790.9241,25.14844,2041.191,0,2
47634.0,24.04,790.8624,25.17676,2041.817,0,2
47756.0,24.05,790.8959,25.17676,2041.476,0,2
47878.0,24.04,790.8353,25.20215,2042.095,0,2
48000.0,24.06,790.8069,25.20313,2042.383,0,2
48122.0,24.04,790.937,25.15137,2041.062,0,2
48244.0,24.04,790.8894,25.16211,2041.545,0,2
48366.0,24.03,790.7682,25.13379,2042.776,0,2
48488.0,24.05,790.7336,25.15137,2043.128,0,2
48610.0,24.04,790.6666,25.13379,2043.812,0,2
48732.0,24.03,790.7141,25.1416,2043.328,0,2
48854.0,24.04,790.6395,25.14063,2044.087,0,2
48976.0,24.03,790.5519,25.12988,2044.977,0,2
49098.0,24.04,790.5583,25.11621,2044.914,0,2
49220.0,24.04,790.5378,25.10645,2045.123,0,2
49342.0,24.05,790.5237,25.08496,2045.265,0,2
49464.0,24.04,790.4772,25.05957,2045.738,0,2
49586.0,24.03,790.4979,25.05566,2045.53,0,2
49708.0,24.06,790.368,25.06934,2046.851,0,2
49830.0,24.1,790.3655,24.99902,2046.875,0,2
49955.0,24.08,790.2921,25.04004,2047.622,0,2
50077.0,24.09,790.2175,25.06738,2048.383,0,2
50199.0,24.09,790.332,25.14453,2047.218,0,2
50321.0,24.09,790.2779,25.0498,2047.768,0,2
50443.0,24.09,790.2509,25.03809,2048.042,0,2
50565.0,24.09,790.305,25.03223,2047.493,0,2
50687.0,24.09,790.2509,25.0332,2048.042,0,2
50809.0,24.12,790.1417,25.01563,2049.155,0,2
50931.0,24.13,790.1339,25.02734,2049.234,0,2
51058.0,24.17,790.098,24.96387,2049.599,0,2
51179.0,24.2,790.1367,25.00684,2049.205,0,2
51301.0,24.23,790.1486,24.91113,2049.083,0,2
51423.0,24.26,790.1062,24.96094,2049.517,0,2
51545.0,24.29,790.064,24.94336,2049.945,0,2
51667.0,24.3,789.9417,24.91504,2051.192,0,2
51789.0,24.32,789.8658,24.91406,2051.963,0,2
51911.0,24.34,789.8375,24.88965,2052.251,0,2
52045.0,24.34,789.8375,24.87305,2052.251,0,2
52167.0,24.37,789.7346,24.85352,2053.301,0,2
52289.0,24.37,789.7886,24.82813,2052.751,0,2
52411.0,24.38,789.7539,24.79785,2053.105,0,2
52534.0,24.38,789.7539,24.76074,2053.105,0,2
52655.0,24.4,789.6379,24.73633,2054.286,0,2
52777.0,24.4,789.6445,24.64844,2054.217,0,2
52900.0,24.4,789.6379,24.56738,2054.286,0,2
53021.0,24.4,789.5838,24.49023,2054.838,0,2
53143.0,24.42,789.5762,24.52051,2054.915,0,2
53265.0,24.43,789.4874,24.52051,2055.819,0,2
53387.0,24.43,789.4602,24.50488,2056.096,0,2
53509.0,24.46,789.4655,24.46777,2056.043,0,2
53631.0,24.49,789.4836,24.45801,2055.858,0,2
53753.0,24.49,789.5106,24.45508,2055.583,0,2
53875.0,24.51,789.4554,24.42383,2056.146,0,2
53997.0,24.53,789.3666,24.41797,2057.05,0,2
54119.0,24.55,789.2573,24.4082,2058.165,0,2
54241.0,24.57,789.283,24.4082,2057.903,0,2
54363.0,24.59,789.3423,24.40137,2057.298,0,2
54485.0,24.61,789.2329,24.40527,2058.413,0,2
54607.0,24.65,789.2781,24.375,2057.954,0,2
54730.0,24.66,789.1891,24.40527,2058.86,0,2
54853.0,24.68,789.2149,24.42578,2058.596,0,2
54975.0,24.7,789.1801,24.37793,2058.952,0,2
55097.0,24.7,789.1326,24.42969,2059.436,0,2
55219.0,24.74,789.117,24.42871,2059.594,0,2
55345.0,24.75,789.0486,24.4248,2060.292,0,2
55468.0,24.75,789.0281,24.4248,2060.501,0,2
55590.0,24.78,788.952,24.40039,2061.278,0,2
55712.0,24.79,788.7756,24.36816,2063.074,0,2
55834.0,24.82,788.8682,24.34473,2062.131,0,2
55956.0,24.82,788.7665,24.35059,2063.167,0,2
56080.0,24.84,788.7317,24.40039,2063.523,0,2
56202.0,24.85,788.7174,24.30469,2063.669,0,2
56324.0,24.87,788.6619,24.19824,2064.234,0,2
56446.0,24.88,788.702,24.25195,2063.825,0,2
56568.0,24.9,788.6195,24.25098,2064.667,0,2
56690.0,24.92,788.6724,24.26172,2064.128,0,2
56812.0,24.96,788.6428,24.24121,2064.43,0,2
56934.0,24.97,788.466,24.24805,2066.232,0,2
57056.0,24.99,788.5255,24.22656,2065.627,0,2
57178.0,25.03,788.4623,24.14746,2066.269,1,3
57300.0,25.06,788.4404,24.17871,2066.493,1,3
57422.0,25.07,788.4055,24.16016,2066.85,1,3
57544.0,25.1,788.3565,24.16113,2067.349,1,3
57666.0,25.13,788.3745,24.12695,2067.165,1,3
57788.0,25.15,788.3192,24.13281,2067.73,1,3
57910.0,25.19,788.3705,24.11816,2067.207,1,3
58042.0,25.22,788.2196,24.12207,2068.747,1,3
58165.0,25.26,788.2104,24.11328,2068.84,1,3
58287.0,25.3,788.2081,24.09766,2068.864,1,3
58409.0,25.32,788.1589,24.08789,2069.365,1,3
58531.0,25.36,788.1164,24.06445,2069.799,1,3
58653.0,25.39,788.1008,24.07227,2069.96,1,3
58775.0,25.42,788.0581,24.03809,2070.393,1,3
58898.0,25.45,787.9948,24.13184,2071.041,1,3
59020.0,25.5,788.1069,24.01953,2069.896,1,3
59142.0,25.52,788.0242,24.01074,2070.74,1,3
59264.0,25.56,787.9196,24.10449,2071.807,1,3
59386.0,25.61,787.9026,23.98242,2071.981,1,3
59508.0,25.64,787.8806,23.9043,2072.206,1,3
59630.0,25.68,787.8716,23.94434,2072.296,1,3
59752.0,25.72,787.8211,23.93359,2072.814,1,3
59874.0,25.77,787.8791,23.93164,2072.222,1,3
59996.0,25.81,787.7742,23.94629,2073.292,1,3
60118.0,25.85,787.7714,23.93555,2073.321,1,3
60240.0,25.89,787.8229,24.07324,2072.795,1,3
60362.0,25.93,787.7659,23.88574,2073.376,1,3
60484.0,26.0,787.8974,23.89355,2072.034,1,3
60606.0,26.04,787.7863,23.87207,2073.168,1,3
60728.0,26.08,787.6814,23.86426,2074.238,1,3
